Date,debt,dow jones industrial,economy,money,s&p 500
2016-11-09,11.0,5.0,16.0,98.0,7.0
2016-11-10,11.0,3.0,13.0,100.0,3.0
2016-11-11,8.0,2.0,11.0,96.0,2.0
2016-11-12,6.0,1.0,9.0,93.0,1.0
2016-11-13,6.0,0.0,9.0,88.0,0.0
2016-11-14,9.0,1.0,11.0,91.0,1.0
2016-11-15,9.0,1.0,13.0,94.0,1.0
2016-11-16,9.0,1.0,11.0,91.0,1.0
2016-11-17,9.0,1.0,12.0,87.0,1.0
2016-11-18,7.0,1.0,10.0,88.0,1.0
2016-11-19,5.0,0.0,7.0,77.0,0.0
2016-11-20,6.0,0.0,8.0,79.0,0.0
2016-11-21,8.0,1.0,11.0,84.0,1.0
2016-11-22,9.0,1.0,10.0,84.0,2.0
2016-11-23,8.0,1.0,10.0,78.0,1.0
2016-11-24,6.0,0.0,8.0,77.0,0.0
2016-11-25,6.0,1.0,7.0,78.0,1.0
2016-11-26,5.0,0.0,7.0,77.0,1.0
2016-11-27,5.0,0.0,8.0,80.0,0.0
2016-11-28,8.0,1.0,11.0,84.0,1.0
2016-11-29,9.0,1.0,11.0,85.0,1.0
2016-11-30,9.0,1.0,11.0,87.0,1.0
2016-12-01,9.0,1.0,11.0,85.0,1.0
2016-12-02,8.0,1.0,10.0,86.0,1.0
2016-12-03,5.0,0.0,7.0,81.0,1.0
2016-12-04,7.0,0.0,9.0,80.0,1.0
2016-12-05,9.0,1.0,11.0,85.0,1.0
2016-12-06,9.0,1.0,11.0,86.0,1.0
2016-12-07,8.0,1.0,10.0,81.0,1.0
2016-12-08,8.0,1.0,10.0,84.0,1.0
2016-12-09,7.0,1.0,10.0,80.0,1.0
2016-12-10,5.0,0.0,7.0,72.0,1.0
2016-12-11,5.0,0.0,7.0,74.0,1.0
2016-12-12,8.0,1.0,10.0,81.0,1.0
2016-12-13,7.0,1.0,10.0,81.0,1.0
2016-12-14,8.0,1.0,10.0,86.0,1.0
2016-12-15,7.0,2.0,9.0,82.0,1.0
2016-12-16,6.0,1.0,9.0,82.0,1.0
2016-12-17,4.0,0.0,6.0,77.0,0.0
2016-12-18,5.0,0.0,7.0,76.0,0.0
2016-12-19,6.0,1.0,8.0,80.0,1.0
2016-12-20,6.0,1.0,9.0,81.0,1.0
2016-12-21,6.0,1.0,10.0,81.0,1.0
2016-12-22,6.0,1.0,7.0,80.0,1.0
2016-12-23,5.0,1.0,6.0,76.0,1.0
2016-12-24,3.0,0.0,5.0,75.0,0.0
2016-12-25,3.0,0.0,5.0,70.0,0.0
2016-12-26,4.0,0.0,6.0,76.0,0.0
2016-12-27,5.0,1.0,6.0,80.0,1.0
2016-12-28,6.0,1.0,7.0,87.0,1.0
2016-12-29,6.0,1.0,7.0,86.0,1.0
2016-12-30,6.0,1.0,6.0,86.0,1.0
2016-12-31,5.0,0.0,6.0,81.0,1.0
